Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rodrigue Beaubois,,2.2,2,0.4,0.2,NA,NA,NA
Álex Abrines,87.3,2.2,2.1,0.6,NA,NA,NA,NA
Donald Sloan,84.1,2,2,0.3,0.1,-0.3,NA,NA
Steve Bracey,81.6,2.1,1.5,0.3,NA,NA,NA,NA
Maurice McHartley,81.6,2.4,1.8,0.8,NA,NA,NA,NA
Travis Diener,80.6,2.5,1.9,0.7,0.6,0,NA,NA
Chris Quinn,79.3,2.6,2.1,0.6,0.1,0.1,-0.2,NA
James Robinson,78.1,2.3,1.9,1.2,0.2,0.2,0,-0.1
Johnny McCarthy,76.4,2.6,1.9,0.5,0.2,-0.1,-0.4,NA
Chris Douglas-Roberts,75.9,2.4,1.6,0.7,0.6,0.1,0,NA
Tex Ritter,74.8,2.4,2.3,1,NA,NA,NA,NA
