Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rodrigue Beaubois,,2.2,2,0.4,0.2
J.J. Barea,89.0,2.2,2.2,0.5,0.1
Fred Hoiberg,87.8,2.3,2.1,0.2,0
Marcus Banks,87.6,2.3,1.9,0.7,0.4
Álex Abrines,87.3,2.2,2.1,0.6,NA
Chris Quinn,83.8,2.6,2.1,0.6,0.1
Darrell Armstrong,83.3,2.5,1.8,0.1,0.1
Randy Brown,83.2,1.9,1.6,0.4,0.3
James Robinson,82.1,2.3,1.9,1.2,0.2
Steve Bracey,81.6,2.1,1.5,0.3,NA
Maurice McHartley,81.6,2.4,1.8,0.8,NA
