Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,23,NYK,NBA,PG,13,NA,208,3.5,8.8,0.392,3.5,4.7,0.741,2.9,2.4,5.9,10.4
1952-53,24,NYK,NBA,PG,7,NA,62,1.7,8.1,0.214,0,4.1,0,4.1,5.2,6.4,3.5
1953-54,25,NYK,NBA,PG,4,NA,69,4.2,9.4,0.444,1,4.7,0.222,2.1,3.7,7.8,9.4
Career,NA,,NBA,,24,NA,339,3.3,8.8,0.373,2.3,4.6,0.512,3,3.2,6.4,8.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,24,NA,339,3.3,8.8,0.373,2.3,4.6,0.512,3,3.2,6.4,8.9
