Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Alfred McGuire,,3.4,1.9,0.1,NA,NA,NA
Bryn Forbes,90.3,3.8,2.1,0.1,NA,NA,NA
Jim Thomas,90.2,3.5,1.6,0,-0.1,NA,NA
Bobby Rascoe,81.2,4.2,1.9,-0.2,NA,NA,NA
Dan Dickau,80.5,3.5,1.5,0.4,0.4,0,0
Mel Riebe,79.5,4.2,2.2,0,NA,NA,NA
Rodney McGruder,79.3,2.9,1.9,0.8,NA,NA,NA
Shabazz Napier,78.6,3.2,2,0.6,0.5,0.1,NA
Paul Thompson,78.4,3.7,1.1,0.1,NA,NA,NA
Billy Ray Bates,77.1,3.6,2.4,0.9,0,NA,NA
Jiří Welsch,75.1,3.6,1.7,0.8,-0.4,NA,NA
