Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Alfred McGuire,,3.4,1.9,0.1,NA
Bryn Forbes,90.3,3.8,2.1,0.1,NA
Jim Thomas,90.2,3.5,1.6,0,-0.1
Mike Dunleavy,86.0,3.4,1.4,0.2,0.1
Ennis Whatley,86.0,3.3,1.9,0.8,0
Bob Weiss,83.7,2.9,1.7,0.1,0
Kevin Loughery,81.5,3.6,2.6,0.1,-0.3
Bobby Rascoe,81.2,4.2,1.9,-0.2,NA
Anthony Goldwire,81.1,3,1.7,0.3,0.1
Jim Les,80.7,3.6,1.3,0.3,0.1
Kent Bazemore,80.0,4.1,1.6,0.2,0.1
