Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Keith Closs,,1.1,0.6,0.2,NA,NA,NA
Bernard James,84.9,1.2,0.5,0.1,NA,NA,NA
Daniel Santiago,81.6,1.2,0.6,0,0,NA,NA
Jason Collier,79.1,1.2,0.4,0.3,0,0,NA
Robert Swift,75.7,1.1,0.7,0,-0.2,NA,NA
Chris Johnson,74.9,1,0.2,0.2,NA,NA,NA
Rich Johnson,74.8,1.2,0.9,0.1,NA,NA,NA
Dave Newmark,73.1,0.8,0.7,0.4,NA,NA,NA
Žan Tabak,72.9,1.1,0.9,0.2,0.1,0.1,0
Roger Brown,71.4,0.9,0.7,0.4,0.2,0.1,NA
Granville Waiters,70.2,1.3,0.5,0.2,0,-0.2,NA
