Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mark Strickland,,2.8,2.2,1,0.6,0.5,0,0,0
James Singleton,86.0,3,2.3,1.1,1,0.7,NA,NA,NA
Lee Nailon,85.0,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA
Bruce Seals,84.7,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Lou Amundson,84.1,2.9,1.8,1,0.6,0.1,0.1,0.1,0.1
Renaldo Balkman,83.4,2.8,2.6,1.3,0.3,0.1,0,NA,NA
Joey Graham,83.2,3,2.2,1.3,1.1,0.3,0,NA,NA
George Lee,83.1,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA
Mark Alarie,82.6,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Chuck Terry,81.4,2.3,2.1,1.2,0.7,0.1,NA,NA,NA
Ike Diogu,80.7,2.6,1.5,1,0.7,0.7,0,NA,NA
