Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dave Feitl,,0.5,0.4,0.3,0.2,0.1,NA,NA,NA
Shawnelle Scott,88.4,0.5,0.4,0.2,0.2,NA,NA,NA,NA
Daniel Orton,74.0,0.5,0.3,0.3,NA,NA,NA,NA,NA
Olumide Oyedeji,72.8,0.4,0.4,0.3,NA,NA,NA,NA,NA
Hamed Haddadi,66.9,0.6,0.6,0.4,0.1,0,NA,NA,NA
Mamadou N'Diaye,66.7,0.8,0.6,0.3,0.2,0,NA,NA,NA
Jabari Smith,59.9,0.7,0.5,0.2,0,NA,NA,NA,NA
Dwayne Schintzius,59.5,0.4,0.3,0.2,0.2,0.1,0,-0.1,-0.2
Todd Fuller,50.0,0.7,0.7,0.6,0.2,0,NA,NA,NA
Roger Brown,49.0,0.9,0.7,0.4,0.2,0.1,NA,NA,NA
Alan Ogg,47.6,0.5,0.3,0,NA,NA,NA,NA,NA
