Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dave Feitl,,0.5,0.4,0.3,0.2,0.1
Shawnelle Scott,88.4,0.5,0.4,0.2,0.2,NA
Daniel Orton,74.0,0.5,0.3,0.3,NA,NA
Didier Ilunga-Mbenga,72.9,0.5,0.4,0.3,0.1,0
Olumide Oyedeji,72.8,0.4,0.4,0.3,NA,NA
Hamed Haddadi,66.9,0.6,0.6,0.4,0.1,0
Mamadou N'Diaye,66.7,0.8,0.6,0.3,0.2,0
Greg Dreiling,61.8,1.1,0.4,0.2,0.2,0.1
Jabari Smith,59.9,0.7,0.5,0.2,0,NA
Greg Kite,51.2,0.7,0.3,0.1,0.1,0
Dwayne Schintzius,50.4,0.4,0.2,0.2,0.1,-0.1
