,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1957-58,22,MNL,NBA,,0,2,1,2,1,0,1,1
Career,,,,,0,2,1,2,1,0,1,1
