Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Stan Noszka,,1.8,0.4,-0.2,NA,NA,NA
Travis Mays,75.4,2.1,0.3,0,NA,NA,NA
Bernard Robinson,73.2,1.7,0.3,0.1,NA,NA,NA
Tracy Jackson,72.6,1.7,0.7,0,NA,NA,NA
Treveon Graham,70.4,1.8,0.5,0.4,NA,NA,NA
Kevin Williams,68.5,1.9,0.6,0.1,0.1,-0.1,NA
John Kuester,68.0,1.9,0.1,0,NA,NA,NA
Trajan Langdon,67.0,2,0.6,0.3,NA,NA,NA
Jerry Eaves,66.9,2,0.7,0,-0.1,NA,NA
Andre Turner,66.0,1.9,0.4,0,-0.1,-0.1,-0.3
Danuel House,65.9,2.3,0.6,0,NA,NA,NA
