,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,23,PHO,NBA,,8,16,7,7,5,10,14,6,4,2,,6,21,
1975-76,24,PHO,NBA,,5,12,2,3,3,5,7,3,2,1,,5,12,
1976-77,25,BOS,NBA,,10,,6,6,,,,,,,,,21,
1977-78,26,TOT,NBA,,9,,4,5,,,,,,,,,18,
1977-78,26,BOS,NBA,,5,,4,4,,,,,,,,,12,
1977-78,26,NOJ,NBA,,9,,4,5,,,,,,,,,18,
Career,,,,,10,,7,7,,,,,,,,,21,
2 Seasons,,BOS,NBA,,10,,6,6,,,,,,,,,21,
2 Seasons,,PHO,NBA,,8,16,7,7,5,10,14,6,4,2,,6,21,
1 Season,,NOJ,NBA,,9,,4,5,,,,,,,,,18,
