Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,23,PHO,NBA,SF,69,NA,1059,7.6,17.6,0.433,2.9,4.1,0.695,3.6,7.4,11,3.5,1.8,0.7,NA,6.6,18.2,NA,NA,97
1975-76,24,PHO,NBA,SF,17,NA,146,8.7,19.9,0.438,1.9,3.4,0.545,3.4,8.1,11.5,4,1.6,0.3,NA,7.2,19.3,NA,NA,98
1976-77,25,BOS,NBA,SF,68,NA,1051,7.8,16.8,0.466,1.5,2.3,0.66,3.1,6.4,9.5,3.6,1.1,0.3,NA,8.1,17.1,NA,NA,99
1977-78,26,TOT,NBA,SF,56,NA,643,6.9,16.3,0.423,1.8,2.5,0.722,2.6,5.1,7.7,3.2,1.5,1,2.9,7.4,15.6,NA,92,102
1977-78,26,BOS,NBA,SF,26,NA,243,5.6,17,0.33,2.6,3.2,0.824,2.1,4.8,6.9,2.1,1.3,0.7,3.7,6.3,13.8,NA,76,102
1977-78,26,NOJ,NBA,SF,30,NA,400,7.6,15.8,0.483,1.3,2.1,0.632,3,5.2,8.2,3.9,1.6,1.1,2.4,8,16.6,NA,102,101
Career,NA,,NBA,,210,NA,2899,7.6,17.1,0.443,2.1,3,0.682,3.2,6.5,9.7,3.5,1.4,0.6,0.7,7.3,17.3,NA,92,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,94,NA,1294,7.4,16.8,0.44,1.7,2.4,0.7,2.9,6.1,9,3.3,1.1,0.4,0.7,7.8,16.5,NA,76,99
2 seasons,NA,PHO,NBA,,86,NA,1205,7.8,17.9,0.434,2.7,4,0.679,3.5,7.5,11.1,3.5,1.8,0.6,NA,6.6,18.3,NA,NA,97
1 season,NA,NOJ,NBA,,30,NA,400,7.6,15.8,0.483,1.3,2.1,0.632,3,5.2,8.2,3.9,1.6,1.1,2.4,8,16.6,NA,102,101
