Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Fred Saunders,,1.3,1.2,0.5,0.1
Tom Workman,89.7,1.4,1.3,0.4,0.1
Tommie Bowens,88.4,1.2,1.1,0.5,NA
Skal Labissière,87.4,1.4,1.3,0.3,NA
Chris Johnson,80.7,1.4,1.1,0.8,0.2
Hank Whitney,80.5,1.8,1.1,0.5,NA
Bo Ellis,78.4,1.1,0.9,0.5,NA
Mickaël Gelabale,77.9,1.5,1.3,0.2,NA
Art Spector,76.8,1.4,1,0.6,-0.2
Steve Green,76.1,1.2,1.1,0.7,0.4
Patrick McFarland,75.5,1.3,0.7,0.4,NA
