Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Fred Saunders,,1.3,1.2,0.5,0.1
Tom Workman,89.7,1.4,1.3,0.4,0.1
Tommie Bowens,88.4,1.2,1.1,0.5,NA
Skal Labissière,87.4,1.4,1.3,0.3,NA
Hilton Armstrong,86.0,1.5,1.2,0.5,-0.1
Tim Kempton,82.9,1.3,1.3,1,0.1
Chris Johnson,80.7,1.4,1.1,0.8,0.2
Tony Brown,80.5,1.8,1.3,0.5,0.2
Hank Whitney,80.5,1.8,1.1,0.5,NA
Bo Ellis,78.4,1.1,0.9,0.5,NA
Mickaël Gelabale,77.9,1.5,1.3,0.2,NA
