Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,PHO,NBA,SF,69,NA,1059,176,406,0.433,66,95,0.695,82,171,253,80,41,15,NA,151,418
1975-76,24,PHO,NBA,SF,17,NA,146,28,64,0.438,6,11,0.545,11,26,37,13,5,1,NA,23,62
1976-77,25,BOS,NBA,SF,68,NA,1051,184,395,0.466,35,53,0.66,73,150,223,85,26,7,NA,191,403
1977-78,26,TOT,NBA,SF,56,NA,643,99,234,0.423,26,36,0.722,38,73,111,46,21,14,42,106,224
1977-78,26,BOS,NBA,SF,26,NA,243,30,91,0.33,14,17,0.824,11,26,37,11,7,4,20,34,74
1977-78,26,NOJ,NBA,SF,30,NA,400,69,143,0.483,12,19,0.632,27,47,74,35,14,10,22,72,150
Career,NA,,NBA,,210,NA,2899,487,1099,0.443,133,195,0.682,204,420,624,224,93,37,42,471,1107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,94,NA,1294,214,486,0.44,49,70,0.7,84,176,260,96,33,11,20,225,477
2 seasons,NA,PHO,NBA,,86,NA,1205,204,470,0.434,72,106,0.679,93,197,290,93,46,16,NA,174,480
1 season,NA,NOJ,NBA,,30,NA,400,69,143,0.483,12,19,0.632,27,47,74,35,14,10,22,72,150
