Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,PHO,NBA,SF,69,NA,15.3,2.6,5.9,0.433,1,1.4,0.695,1.2,2.5,3.7,1.2,0.6,0.2,NA,2.2,6.1
1975-76,24,PHO,NBA,SF,17,NA,8.6,1.6,3.8,0.438,0.4,0.6,0.545,0.6,1.5,2.2,0.8,0.3,0.1,NA,1.4,3.6
1976-77,25,BOS,NBA,SF,68,NA,15.5,2.7,5.8,0.466,0.5,0.8,0.66,1.1,2.2,3.3,1.3,0.4,0.1,NA,2.8,5.9
1977-78,26,TOT,NBA,SF,56,NA,11.5,1.8,4.2,0.423,0.5,0.6,0.722,0.7,1.3,2,0.8,0.4,0.3,0.8,1.9,4
1977-78,26,BOS,NBA,SF,26,NA,9.3,1.2,3.5,0.33,0.5,0.7,0.824,0.4,1,1.4,0.4,0.3,0.2,0.8,1.3,2.8
1977-78,26,NOJ,NBA,SF,30,NA,13.3,2.3,4.8,0.483,0.4,0.6,0.632,0.9,1.6,2.5,1.2,0.5,0.3,0.7,2.4,5
Career,NA,,NBA,,210,NA,13.8,2.3,5.2,0.443,0.6,0.9,0.682,1,2,3,1.1,0.4,0.2,0.8,2.2,5.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,94,NA,13.8,2.3,5.2,0.44,0.5,0.7,0.7,0.9,1.9,2.8,1,0.4,0.1,0.8,2.4,5.1
2 seasons,NA,PHO,NBA,,86,NA,14,2.4,5.5,0.434,0.8,1.2,0.679,1.1,2.3,3.4,1.1,0.5,0.2,NA,2,5.6
1 season,NA,NOJ,NBA,,30,NA,13.3,2.3,4.8,0.483,0.4,0.6,0.632,0.9,1.6,2.5,1.2,0.5,0.3,0.7,2.4,5
