Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1974-75,23,PHO,NBA,SF,69,1059,13.2,0.467,0.234,7.8,16.8,12.3,11,1.8,0.8,NA,NA,NA,0.2,1.1,1.3,0.06,NA,-1.8,0,-1.8,0.1
1975-76,24,PHO,NBA,SF,17,146,12.7,0.45,0.172,8.3,19.1,13.8,13.3,1.6,0.4,NA,NA,NA,-0.1,0.2,0.1,0.026,NA,-3.1,-0.5,-3.7,-0.1
1976-77,25,BOS,NBA,SF,68,1051,10.9,0.482,0.134,6.9,13.9,10.4,11.6,1.1,0.3,NA,NA,NA,0,1.2,1.2,0.054,NA,-2.9,0.2,-2.7,-0.2
1977-78,26,TOT,NBA,SF,56,643,8.9,0.448,0.154,5.9,10.9,8.5,9.7,1.5,1.1,14.4,17.4,NA,-0.1,0.6,0.5,0.039,NA,-3.1,0.2,-2.9,-0.2
1977-78,26,BOS,NBA,SF,26,243,4.1,0.376,0.187,4.7,10.6,7.7,6,1.3,0.8,16.9,18.9,NA,-0.5,0.2,-0.3,-0.05,NA,-5.3,-0.7,-6,-0.3
1977-78,26,NOJ,NBA,SF,30,400,11.8,0.496,0.133,6.6,11.1,8.9,12,1.6,1.2,12.7,16.4,NA,0.4,0.4,0.8,0.092,NA,-1.8,0.8,-1.1,0.1
Career,NA,,NBA,,210,2899,11.4,0.467,0.177,7.1,14.6,10.8,11,1.5,0.7,14.4,17.4,NA,0,3.1,3.1,0.051,NA,-2.6,0.1,-2.5,-0.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,94,1294,9.6,0.461,0.144,6.5,13.3,9.9,10.5,1.1,0.4,16.9,18.9,NA,-0.5,1.4,0.9,0.035,NA,-3.4,0.1,-3.3,-0.5
2 seasons,NA,PHO,NBA,,86,1205,13.1,0.465,0.226,7.9,17.1,12.5,11.3,1.8,0.7,NA,NA,NA,0.1,1.3,1.4,0.056,NA,-1.9,-0.1,-2,0
1 season,NA,NOJ,NBA,,30,400,11.8,0.496,0.133,6.6,11.1,8.9,12,1.6,1.2,12.7,16.4,NA,0.4,0.4,0.8,0.092,NA,-1.8,0.8,-1.1,0.1
