Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,PHO,NBA,SF,69,NA,1059,6,13.8,0.433,2.2,3.2,0.695,2.8,5.8,8.6,2.7,1.4,0.5,NA,5.1,14.2
1975-76,24,PHO,NBA,SF,17,NA,146,6.9,15.8,0.438,1.5,2.7,0.545,2.7,6.4,9.1,3.2,1.2,0.2,NA,5.7,15.3
1976-77,25,BOS,NBA,SF,68,NA,1051,6.3,13.5,0.466,1.2,1.8,0.66,2.5,5.1,7.6,2.9,0.9,0.2,NA,6.5,13.8
1977-78,26,TOT,NBA,SF,56,NA,643,5.5,13.1,0.423,1.5,2,0.722,2.1,4.1,6.2,2.6,1.2,0.8,2.4,5.9,12.5
1977-78,26,BOS,NBA,SF,26,NA,243,4.4,13.5,0.33,2.1,2.5,0.824,1.6,3.9,5.5,1.6,1,0.6,3,5,11
1977-78,26,NOJ,NBA,SF,30,NA,400,6.2,12.9,0.483,1.1,1.7,0.632,2.4,4.2,6.7,3.2,1.3,0.9,2,6.5,13.5
Career,NA,,NBA,,210,NA,2899,6,13.6,0.443,1.7,2.4,0.682,2.5,5.2,7.7,2.8,1.2,0.5,2.4,5.8,13.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,94,NA,1294,6,13.5,0.44,1.4,1.9,0.7,2.3,4.9,7.2,2.7,0.9,0.3,3,6.3,13.3
2 seasons,NA,PHO,NBA,,86,NA,1205,6.1,14,0.434,2.2,3.2,0.679,2.8,5.9,8.7,2.8,1.4,0.5,NA,5.2,14.3
1 season,NA,NOJ,NBA,,30,NA,400,6.2,12.9,0.483,1.1,1.7,0.632,2.4,4.2,6.7,3.2,1.3,0.9,2,6.5,13.5
