table_names,spec_strings
per_game_season,ccicciiddddddddddddddddddddddd
per_game_career,cidddddddddddddddddddddddd
per_minute_season,cccddddddddddddddddddddd
per_minute_career,cddddddddddddddddddddd
advanced_season,cccdddddddddddddddddddd
advanced_career,cdddddddddddddddddddd
pbp_season,ccccccccddiiiiiiiii
pbp_career,ccccccddiiiiiiiii
totals_season,ccciiidiidiiddiidiiiiiiiii
totals_career,ciiidiidiiddiidiiiiiiiii
shooting_season,cccdddddddddddddddddddddd
shooting_career,cdddddddddddddddddddddd
highs_season,cccciiiiiiiiiiiiiiiiid
highs_career,cciiiiiiiiiiiiiiiiid
playoffs_per_game_season,ccciiddddddddddddddddddddddd
playoffs_per_game_career,ciiddddddddddddddddddddddd
playoffs_per_minute_season,cccddddddddddddddddddddd
playoffs_per_minute_career,cddddddddddddddddddddd
playoffs_advanced_season,cccdddddddddddddddddddd
playoffs_advanced_career,cdddddddddddddddddddd
playoffs_pbp_season,ccccccccddiiiiiiiii
playoffs_pbp_career,ccccccddiiiiiiiii
playoffs_totals_season,ccciiidiiiiddiidiiiiiiiiid
playoffs_totals_career,ciiidiiiiddiidiiiiiiiiid
playoffs_shooting_season,cccdddddddddddddddddddddd
playoffs_shooting_career,cdddddddddddddddddddddd
playoffs_highs_season,cccciiiiiiiiiiiiiiiiid
playoffs_highs_career,cciiiiiiiiiiiiiiiiid
