Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Victor Oladipo,,8.2,4.9,4,3.5,2.3,1.3,NA,NA,NA,NA,NA,NA
Gene Littles,92.3,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA,NA,NA,NA,NA
Dick Garmaker,87.3,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA,NA,NA
Mike James,84.1,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Larry Drew,82.8,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA,NA
Ted McClain,82.1,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA,NA
Eric Murdock,81.3,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA,NA,NA
Bob Verga,81.2,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA,NA,NA,NA
Bobby Phills,81.1,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA,NA,NA
Delonte West,80.4,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA,NA
Paul Walther,80.2,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA,NA
