Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Victor Oladipo,,8.2,4.9,4,3.5,2.3,1.3
Sam Cassell,94.8,8.3,4.7,3.9,3.9,2.2,0.8
Gene Littles,92.3,7.7,4.8,4.2,3.6,1.6,1.4
DeMar DeRozan,91.7,8.8,4.7,4,3.2,2.5,2.3
Travis Best,89.6,7.2,5.1,4.1,3.3,2.1,0.7
Leandro Barbosa,88.9,8.2,5.5,5,3.8,1.9,1.8
Dick Garmaker,87.3,7.5,4.7,4.6,4.4,3.1,1.3
Dave Twardzik,86.6,7.5,5.5,5.1,3,2.4,1.1
Gene Shue,86.4,8.5,5.6,4.6,4.6,2.4,0.4
Mike James,85.3,7.6,5.2,4.3,2.8,1.8,0
Kyle Lowry,85.3,7,4.9,4.3,3.6,3.4,0.5
