Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Francisco Elson,,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0,NA
Ekpe Udoh,83.7,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA,NA
Jake Voskuhl,82.6,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3,NA
Jim Barnes,82.2,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA
Meyers Leonard,82.0,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA
Manute Bol,80.1,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2
Jake Tsakalidis,79.6,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA,NA
Michael Doleac,79.3,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0
Jim McIlvaine,78.1,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA,NA
Hub Reed,77.8,2.8,2,1.7,1.3,1,0.6,0,NA,NA,NA
Cherokee Parks,77.4,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
