,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,CIN,NBA,,8,,6,12,,,,,,,,19
1967-68,23,CIN,NBA,,10,,6,12,,,,,,,,22
1968-69,24,CIN,NBA,,11,,9,9,,,,,,,,25
1969-70,25,CHI,NBA,,10,22,10,13,,,14,4,,,6,24
1970-71,26,CLE,NBA,,20,34,16,18,,,21,,,,6,50
1971-72,27,CLE,NBA,,15,29,9,12,,,21,5,,,6,34
1972-73,28,TOT,NBA,,7,16,3,5,,,12,4,,,6,17
1972-73,28,CLE,NBA,,5,11,2,3,,,11,2,,,5,11
1972-73,28,PHO,NBA,,7,16,3,5,,,12,4,,,6,17
1973-74,29,CAP,NBA,,9,12,3,4,,,12,2,,,6,20
1974-75,30,TOT,NBA,,4,,3,4,,,,,,,,10
1974-75,30,PHI,NBA,,4,,2,4,,,,,,,,10
1974-75,30,MIL,NBA,,4,,3,4,,,,,,,,10
1975-76,31,LAL,NBA,,1,2,2,4,0,1,1,1,0,0,2,4
Career,,,,,20,,16,18,,,,,,,,50
3 Seasons,,CIN,NBA,,11,,9,12,,,,,,,,25
3 Seasons,,CLE,NBA,,20,34,16,18,,,21,,,,6,50
1 Season,,CHI,NBA,,10,22,10,13,,,14,4,,,6,24
1 Season,,PHO,NBA,,7,16,3,5,,,12,4,,,6,17
1 Season,,MIL,NBA,,4,,3,4,,,,,,,,10
1 Season,,CAP,NBA,,9,12,3,4,,,12,2,,,6,20
1 Season,,PHI,NBA,,4,,2,4,,,,,,,,10
1 Season,,LAL,NBA,,1,2,2,4,0,1,1,1,0,0,2,4
