Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Walt Wesley,,4.1,1.7,1.2,1.2,1,0.7,0.2,0,-0.3,-0.4
Cole Aldrich,77.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA,NA
Cherokee Parks,76.4,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
Carlos Rogers,75.9,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA
Eric Montross,75.5,4.1,1.4,1.3,1.3,0.7,0.2,0,-0.4,NA,NA
Jim Krebs,75.2,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA
Manute Bol,73.0,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2
Marc Jackson,72.4,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA
Connie Dierking,72.0,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1
Hub Reed,67.6,2.8,2,1.7,1.3,1,0.6,0,NA,NA,NA
Jake Tsakalidis,66.9,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA,NA
