Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,CAP,NBA,C,39,NA,400,8,17,0.47,2.9,4.9,0.605,7.1,8.2,15.3,1.6,1,2.3,8.4,19,NA,NA,93
1974-75,30,TOT,NBA,C,45,NA,247,8,17.7,0.452,3,5.1,0.593,3.4,8.6,12,2.3,1.3,1,9.7,19,NA,NA,97
1974-75,30,PHI,NBA,C,4,NA,33,7,12.7,0.556,2.8,5.6,0.5,5.6,5.6,11.2,1.4,0,0,11.2,16.9,NA,NA,102
1974-75,30,MIL,NBA,C,41,NA,214,8.1,18.5,0.44,3.1,5.1,0.609,3.1,9,12.1,2.4,1.5,1.1,9.4,19.3,NA,NA,96
1975-76,31,LAL,NBA,C,1,NA,7,6.4,12.7,0.5,12.7,25.4,0.5,0,6.4,6.4,6.4,0,0,12.7,25.4,NA,NA,102
Career,NA,,NBA,,85,NA,654,8,17.2,0.463,3.1,5.2,0.595,5.7,8.3,14,1.9,1.1,1.8,8.9,19,NA,NA,94
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,41,NA,214,8.1,18.5,0.44,3.1,5.1,0.609,3.1,9,12.1,2.4,1.5,1.1,9.4,19.3,NA,NA,96
1 season,NA,CAP,NBA,,39,NA,400,8,17,0.47,2.9,4.9,0.605,7.1,8.2,15.3,1.6,1,2.3,8.4,19,NA,NA,93
1 season,NA,PHI,NBA,,4,NA,33,7,12.7,0.556,2.8,5.6,0.5,5.6,5.6,11.2,1.4,0,0,11.2,16.9,NA,NA,102
1 season,NA,LAL,NBA,,1,NA,7,6.4,12.7,0.5,12.7,25.4,0.5,0,6.4,6.4,6.4,0,0,12.7,25.4,NA,NA,102
