,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2011-12,23,MIA,NBA,PG,65,1260,100%,,,,,-0.9,-12.4,56,26,56,10,33,7,302,9,37
2012-13,24,MIA,NBA,PG,80,1590,100%,,,,,+2.1,-11.6,57,23,70,11,32,6,385,6,29
2013-14,25,MIA,NBA,PG,82,2014,100%,,,,,+3.5,-3.7,80,25,64,9,28,5,553,7,36
2014-15,26,TOT,NBA,PG,75,1831,97%,3%,,,,-4.1,-4.5,61,23,50,6,25,8,590,3,27
2014-15,26,MIA,NBA,PG,47,1148,96%,4%,,,,-5.9,-4.4,34,15,29,3,15,3,389,0,19
2014-15,26,NOP,NBA,PG,28,683,100%,,,,,-1.3,-3.3,27,8,21,3,10,5,201,3,8
2015-16,27,NOP,NBA,PG,45,1198,94%,6%,,,,-5.0,-1.7,47,13,50,7,22,5,370,4,17
2016-17,28,OKC,NBA,PG,13,125,100%,,,,,-5.5,-6.2,4,1,6,1,3,0,29,0,3
Career,,,NBA,,360,8018,99%,1%,,,,-0.6,-6.5,305,111,296,44,143,31,2229,29,149
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,274,6012,99%,1%,,,,+0.4,-7.7,227,89,219,33,108,21,1629,22,121
2 seasons,,NOP,NBA,,73,1881,96%,4%,,,,-3.7,-2.2,74,21,71,10,32,10,571,7,25
1 season,,OKC,NBA,,13,125,100%,,,,,-5.5,-6.2,4,1,6,1,3,0,29,0,3
