Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Norris Cole,,1.4,1.2,0.6,0,-0.1,-0.1
Steve Harris,86.4,1.3,1.2,0.8,0,-0.1,NA
Chris Smith,80.7,1.2,1.1,0.9,NA,NA,NA
Corky Devlin,76.8,1.8,1.2,0.8,NA,NA,NA
Richie Frahm,75.8,1.5,1,0.5,-0.2,NA,NA
Dante Exum,75.2,1.2,1,0.7,-0.1,NA,NA
Antoine Wright,74.4,1.4,1.2,0.8,0.3,-0.1,-0.5
Jimmy O'Brien,74.3,1.4,1.4,1,0.2,NA,NA
Steve Alford,73.8,1.4,0.9,0.6,0.3,NA,NA
Ernie DiGregorio,72.7,1.3,1.2,0.6,0.1,-0.6,NA
Richie Regan,71.8,1.6,1.5,0.4,NA,NA,NA
