Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Bill Walton,,10.2,8.4,5,3.8,3.6,3.3,2.3,2,0.8,-0.1
Tom Boerwinkle,85.8,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2
Nikola Vučević,83.9,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA
Mark West,82.8,8.2,6.5,5.5,3.9,3.4,3.1,1.9,1.1,0.9,-0.1
Robin Lopez,81.3,9.5,5.8,5.6,5.1,4.3,3.2,2.1,1.9,1.5,1.1
Chuck Share,81.1,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA
Danny Schayes,80.3,8.8,6.8,5.6,4.6,4.5,3.9,2.8,2,1.7,1.2
Marcus Camby,79.2,10.3,6.9,5.9,5.8,5.5,3.7,3.5,2.1,1.5,0.9
Ray Felix,78.7,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA
Elmore Smith,78.0,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA
Rich Kelley,77.4,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7
