Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,NA,ANA,ABA,C,38,NA,22.6,3.2,7.4,0.429,0.1,0.1,1,3.1,7.3,0.424,0.432,1.5,2.6,0.586,NA,NA,7.1,0.6,1,3.2,7.9
Career,NA,,ABA,,38,NA,22.6,3.2,7.4,0.429,0.1,0.1,1,3.1,7.3,0.424,0.432,1.5,2.6,0.586,NA,NA,7.1,0.6,1,3.2,7.9
