Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Derek Strong,,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0,NA
Andrea Bargnani,91.2,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA
David Benoit,90.0,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA
Glen Davis,88.8,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Jeff Cook,87.5,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA
Kyle O'Quinn,86.5,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
Howard Porter,85.0,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA
Lamond Murray,83.5,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Tony Campbell,83.4,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Bill Calhoun,83.3,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA,NA,NA
Jason Maxiell,83.2,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA
