Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,23,CHI,NBA,PG,24,0,304,17,41,0.415,9,31,0.29,8,10,0.8,0.524,5,6,0.833,1,24,25,35,13,0,13,18,48
2018-19,24,CHI,NBA,PG,81,32,1961,187,418,0.447,81,217,0.373,106,201,0.527,0.544,89,102,0.873,27,192,219,269,65,4,63,171,544
2019-20,25,CHI,NBA,PG,58,4,930,90,220,0.409,54,138,0.391,36,82,0.439,0.532,27,38,0.711,20,90,110,96,27,3,37,96,261
Career,NA,,NBA,,163,36,3195,294,679,0.433,144,386,0.373,150,293,0.512,0.539,121,146,0.829,48,306,354,400,105,7,113,285,853
