,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2002-03,19,STJOSEPHS,30,631,50,95,0,0,26,74,,189,8,11,60,,,126,.526,,.351,21.0,4.2,6.3,0.3
2003-04,20,STJOSEPHS,32,868,79,145,0,0,47,104,,224,29,17,63,,,205,.545,,.452,27.1,6.4,7.0,0.9
2004-05,21,STJOSEPHS,36,1254,115,227,0,0,133,248,,418,31,13,109,,,363,.507,,.536,34.8,10.1,11.6,0.9
Career,,,98,2753,244,467,0,0,206,426,,831,68,41,232,,,694,.522,,.484,28.1,7.1,8.5,0.7
