Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dwayne Jones,,1.2,0.1,0.1,0,0,NA
Jackie Butler,94.0,1.2,0.1,0.1,NA,NA,NA
Stephen Howard,83.2,1.3,0.2,0.1,0,NA,NA
Damjan Rudež,81.3,1.3,0.1,0.1,NA,NA,NA
Mark Pope,76.7,1.3,0.1,0,0,-0.1,-0.1
David Thirdkill,76.6,1,0.3,0,0,-0.1,NA
Kenny Dennard,76.5,1.1,0.3,0.1,NA,NA,NA
Brian Evans,75.3,1.5,0.1,0.1,NA,NA,NA
Winston Bennett,75.0,1.1,0.3,0.2,NA,NA,NA
Michael Young,74.3,1.1,0,0,NA,NA,NA
Ivano Newbill,74.1,1.1,0.1,-0.1,NA,NA,NA
