Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kendall Marshall,,0.9,0.8,-0.2,-0.5
Bobby Lewis,78.8,1,0.7,-0.1,-0.4
Bernie Williams,50.5,1.1,0.8,0.1,-0.3
Tony Bennett,48.2,0.9,0.7,0,NA
Earl Boykins,47.5,1,0.8,0.3,-0.3
LaBradford Smith,46.1,0.8,0.8,-0.1,NA
Charlie Davis,46.0,0.8,0.7,-0.1,NA
Pat Riley,42.7,1,0.6,0.3,-0.6
Litterial Green,42.1,0.8,0.8,0.1,-0.1
Carlos Terry,42.1,0.8,0.8,-0.1,NA
Mike D'Antoni,39.6,1,0.8,0.3,0
