Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dick Schulz,,2.9,0.8,0.6,0
Charles Jones,93.6,2.9,0.9,0.6,0.1
Kenny Fields,92.7,2.8,0.7,0.7,0
Dennis Hamilton,92.7,2.8,0.7,0.5,0
Darius Miller,90.9,3,0.8,0.5,-0.1
DeMarre Carroll,88.2,3.1,0.5,0.5,0.1
Derrick Jones,87.2,2.9,1.1,0.4,NA
Bob Quick,86.8,2.6,0.8,0.6,0.3
Barney Cable,86.4,3.3,0.7,0.4,0.1
Rowland Garrett,85.0,3.1,1.1,0.5,-0.1
Andray Blatche,82.6,3,1.4,0.5,0.1
