Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dick Schulz,,2.9,0.8,0.6,0,NA,NA
Charles Jones,93.6,2.9,0.9,0.6,0.1,NA,NA
Kenny Fields,92.7,2.8,0.7,0.7,0,NA,NA
Dennis Hamilton,92.7,2.8,0.7,0.5,0,NA,NA
Derrick Jones,87.2,2.9,1.1,0.4,NA,NA,NA
Bob Quick,86.8,2.6,0.8,0.6,0.3,NA,NA
Jeff Adrien,80.6,2.7,1,0.4,0.2,0.1,NA
Sam Young,80.2,2.9,1.2,0.9,0.2,NA,NA
Walter Herrmann,79.6,2.4,1,0.7,NA,NA,NA
Jeff Lamp,78.7,3,1,0.7,0.6,0,-0.1
Sam Dekker,77.2,3.1,1.2,1,0,NA,NA
