Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gene Conley,,2.8,2.1,0.4,0,0,-0.1
Howie Schultz,88.9,3,2,0.6,NA,NA,NA
Ed Kalafat,87.4,2.6,2.1,0.7,NA,NA,NA
Henry Sims,81.5,2.1,2.1,0.4,0,NA,NA
Hasheem Thabeet,78.4,2.2,2,0.3,0.3,0,NA
Pete Cross,78.3,2.6,1.8,-0.2,NA,NA,NA
Vladimir Stepania,73.9,2.9,1.7,0.8,0.2,-0.1,-0.3
Greg Stiemsma,71.5,2.7,1.7,1.5,0.1,NA,NA
Bob Christian,71.1,2.4,1.9,0.9,0.5,0,NA
Festus Ezeli,70.9,2.7,1.7,1.5,NA,NA,NA
Lucas Nogueira,67.2,3.7,1.6,0.7,0,NA,NA
