Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1952-53,22,BOS,NBA,PF,39,461,10.4,0.362,0.287,NA,NA,NA,NA,NA,-0.4,0.4,0,0.001
1958-59,28,BOS,NBA,PF,50,663,8.8,0.36,0.244,NA,NA,NA,NA,NA,-1,1.4,0.4,0.025
1959-60,29,BOS,NBA,PF,71,1330,10.1,0.406,0.212,NA,NA,NA,NA,NA,-0.8,2.8,2.1,0.074
1960-61,30,BOS,NBA,PF,75,1242,11,0.42,0.309,NA,NA,NA,NA,NA,-0.5,3.2,2.8,0.107
1962-63,32,NYK,NBA,PF,70,1544,10.7,0.43,0.286,NA,NA,NA,NA,NA,-1,0.9,-0.1,-0.002
1963-64,33,NYK,NBA,PF,46,551,8.8,0.441,0.344,NA,NA,NA,NA,NA,-0.1,0,0,-0.003
Career,NA,,NBA,,351,5791,10.2,0.412,0.273,NA,NA,NA,NA,NA,-3.8,8.8,5.1,0.042
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,235,3696,10.2,0.399,0.258,NA,NA,NA,NA,NA,-2.7,7.9,5.2,0.067
2 seasons,NA,NYK,NBA,,116,2095,10.2,0.432,0.299,NA,NA,NA,NA,NA,-1.1,1,-0.1,-0.002
