Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Othella Harrington,,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0
J.R. Reid,92.9,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,NA
Scott Williams,91.5,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,0.9,0.4,0.3,-0.1
Charles Jones,90.4,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0,0
Dante Cunningham,89.9,3.5,3.4,3,2.9,2.4,2.1,2,1.9,1.9,1.6,NA,NA
Keith Erickson,88.4,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2
Tom Hawkins,87.7,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1,NA,NA
Fred Roberts,86.8,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2
Vladimir Radmanović,86.5,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0
Pat Cummings,86.1,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Reggie Evans,85.7,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,0.2
