Season,Team,Lg,Salary
1996-97,Houston Rockets,NBA,"$247,500"
1997-98,Houston Rockets,NBA,"$326,700"
1999-00,Vancouver Grizzlies,NBA,"$2,025,000"
2000-01,Vancouver Grizzlies,NBA,"$2,250,000"
2001-02,New York Knicks,NBA,"$2,475,000"
2002-03,New York Knicks,NBA,"$2,700,000"
2003-04,New York Knicks,NBA,"$2,925,000"
2004-05,Chicago Bulls,NBA,"$3,150,000"
2005-06,Chicago Bulls,NBA,"$3,500,000"
2006-07,Charlotte Bobcats,NBA,"$2,200,000"
2007-08,Charlotte Bobcats,NBA,"$2,376,000"
Career,(may be incomplete),,"$24,175,200"
