,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2000-01,20,CHI,NBA,16:14,2,6,0,1,2,6,2,6,3,5,8,3,2,3,3,4,5,4.6
2001-02,21,CHI,NBA,31:54,5,9,0,1,5,9,6,7,4,10,11,3,2,2,4,5,16,15.7
2002-03,22,CHI,NBA,13:32,2,4,0,0,2,4,2,2,2,4,5,1,1,3,2,3,4,4.7
Career,,,,31:54,5,9,0,1,5,9,6,7,4,10,11,3,2,3,4,5,16,15.7
