Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jordan Crawford,,2.8,1.9,1.1,0.9,0.2,-0.6
Jeff Judkins,80.0,3,1.8,0.7,0.6,0.2,NA
Hollis Thompson,80.0,2.6,2,1.2,0.7,NA,NA
Si Green,79.8,2.6,1.6,1,0.8,0.4,NA
Rumeal Robinson,79.7,2.4,1.9,1,0.5,-0.1,-0.6
Mike Barr,78.3,2.7,1.7,1.4,0.7,0.4,NA
John Crotty,78.3,2.4,2.1,1.3,1,0.3,-0.1
Garrett Temple,77.9,2.7,1.5,1.2,0.4,0.3,-0.4
Sasha Pavlović,77.2,3.1,1.7,0.9,0.8,0.5,0.2
Claude Terry,77.0,2.4,1.8,1,1,0.8,0
E'Twaun Moore,76.4,2.7,1.8,1.7,0.8,0.2,0.2
