Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jordan Crawford,,2.8,1.9,1.1,0.9,0.2,-0.6,NA
Jeff Judkins,80.0,3,1.8,0.7,0.6,0.2,NA,NA
Hollis Thompson,80.0,2.6,2,1.2,0.7,NA,NA,NA
Rumeal Robinson,79.7,2.4,1.9,1,0.5,-0.1,-0.6,NA
Mike Barr,78.3,2.7,1.7,1.4,0.7,0.4,NA,NA
Claude Terry,77.0,2.4,1.8,1,1,0.8,0,NA
Tim Frazier,75.8,2.4,2,1.4,1,-0.1,NA,NA
Travis Diener,73.1,2.5,1.9,0.7,0.6,0,NA,NA
Butch Carter,72.6,3,2.6,1.3,0.9,0.9,-0.2,NA
Greg Minor,72.0,3,2.1,1.7,0.8,0.6,NA,NA
Robert Smith,71.6,2.9,1.4,0.8,0.6,0,0,0
