Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Joe Caldwell,,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3
Trevor Ariza,89.0,8,6.6,6.1,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Antoine Walker,87.8,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9,-0.3
Don Kojis,87.2,8.3,5,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7
Drew Gooden,86.9,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,-0.1
Rodney Rogers,86.7,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2
Matt Barnes,86.4,6.3,5.9,4.3,3.7,3.5,3,3,2.3,1,0.7,0.4
Ed Pinckney,85.8,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.3
Carl Landry,85.4,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA
Chris Morris,85.4,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1
Harvey Grant,84.9,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7
