Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Joe Caldwell,,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA,NA,NA
Antoine Walker,88.0,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3,NA,NA
Don Kojis,86.5,8.3,5,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5,NA,NA
Rodney Rogers,86.4,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3,NA,NA
Carl Landry,85.4,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA,NA,NA,NA
Chris Morris,85.4,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA,NA,NA
Harvey Grant,84.9,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA,NA,NA
Ed Pinckney,84.9,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3,NA,NA
Matt Harpring,84.0,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,NA,NA,NA
Drew Gooden,83.6,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0,-0.1
Kenny Carr,83.4,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA,NA,NA,NA
