Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joel Embiid,,8.7,6.2,1.9,NA,NA,NA,NA,NA
Jusuf Nurkić,74.6,7.8,4.7,2,1.6,0.4,NA,NA,NA
Skip Thoren,74.4,7,4.4,1.6,NA,NA,NA,NA,NA
Don Otten,73.8,8.5,5.8,4.9,1.7,NA,NA,NA,NA
Manny Leaks,72.9,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Gheorghe Mureșan,71.7,8,5.3,4.1,1.3,0.3,-0.1,NA,NA
Bob Houbregs,70.6,6.9,4.5,2.8,0.2,NA,NA,NA,NA
Jakob Pöltl,68.8,5.6,5.1,1.6,NA,NA,NA,NA,NA
Myles Turner,67.6,8,6.3,4.7,3.1,NA,NA,NA,NA
Bob Rule,64.0,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0
Nikola Peković,63.3,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA
