,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,23,NYK,NBA,PG,45,1457,66%,34%,,,,-10.0,+0.3,39,11,52,6,35,14,341,10,22
2015-16,24,NYK,NBA,PG,82,2033,100%,,,,,-2.7,+0.4,31,17,65,5,47,5,480,12,22
2016-17,25,TOT,NBA,PG,74,1495,75%,25%,,,,-1.4,+1.8,31,10,40,5,22,8,225,4,20
2016-17,25,NOP,NBA,PG,55,1120,76%,24%,,,,-2.8,-1.1,17,8,29,3,16,6,154,4,13
2016-17,25,SAC,NBA,PG,19,375,70%,30%,,,,+2.6,+7.2,14,2,11,2,6,2,71,0,7
2017-18,26,DET,NBA,SG,58,863,16%,80%,5%,,,+4.2,+5.5,9,3,16,2,13,3,144,1,8
2018-19,27,DET,NBA,SG,80,1745,1%,93%,5%,,,+0.5,+1.6,15,5,56,3,35,11,205,12,26
2019-20,28,DET,NBA,SG,66,1702,31%,66%,3%,,,-4.7,-1.1,26,9,31,3,32,13,240,13,14
Career,,,NBA,,405,9295,51%,47%,2%,,,-2.7,+1.0,151,55,260,24,184,54,1635,52,112
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,204,4310,16%,80%,4%,,,-0.8,+1.3,50,17,103,8,80,27,589,26,48
2 seasons,,NYK,NBA,,127,3490,86%,14%,,,,-5.7,+0.3,70,28,117,11,82,19,821,22,44
1 season,,NOP,NBA,,55,1120,76%,24%,,,,-2.8,-1.1,17,8,29,3,16,6,154,4,13
1 season,,SAC,NBA,,19,375,70%,30%,,,,+2.6,+7.2,14,2,11,2,6,2,71,0,7
