Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2014-15,23,NYK,NBA,PG,45,1457,12.3,0.489,0.344,0.153,2.9,12.5,7.5,17.6,1.9,0.7,10.1,19.2,NA,0.7,0.6,1.3,0.043,NA,-1.5,-0.9,-2.3,-0.1
2015-16,24,NYK,NBA,PG,82,2033,11.7,0.49,0.381,0.194,2.3,13,7.7,15.7,1.9,0.8,8.7,15.6,NA,1.4,1.8,3.3,0.077,NA,-1.7,0.7,-1,0.5
2016-17,25,TOT,NBA,PG,74,1495,10.4,0.51,0.565,0.117,2,9.3,5.6,9.4,1.5,0.3,7.4,18.4,NA,0.2,1.1,1.3,0.04,NA,-1.5,-0.7,-2.3,-0.1
2016-17,25,NOP,NBA,PG,55,1120,11.2,0.508,0.608,0.118,1.9,9.6,5.7,8.8,1.7,0.4,5.7,19.5,NA,0.2,1,1.2,0.052,NA,-1.2,-0.2,-1.5,0.1
2016-17,25,SAC,NBA,PG,19,375,8,0.522,0.385,0.115,2.2,8.5,5.4,11.2,0.8,0.2,14.1,15.4,NA,0,0.1,0.1,0.007,NA,-2.6,-2.1,-4.7,-0.3
2017-18,26,DET,NBA,SG,58,863,12.2,0.503,0.641,0.121,1.6,10.3,5.9,10.1,2,0.5,4.8,19.3,NA,0.5,0.9,1.4,0.08,NA,-0.2,0.2,0.1,0.5
2018-19,27,DET,NBA,SG,80,1745,10.7,0.534,0.647,0.164,3,7.9,5.4,7.3,1,0.4,3.7,16.1,NA,2.1,1.3,3.4,0.094,NA,-0.9,-0.6,-1.5,0.2
2019-20,28,DET,NBA,SG,66,1702,12.3,0.584,0.611,0.157,2.2,7.8,5,8.8,1.4,0.5,6.5,15.9,NA,2.4,0.7,3.1,0.087,NA,0.1,-0.9,-0.8,0.5
Career,NA,,NBA,,405,9295,11.5,0.519,0.526,0.154,2.4,10.2,6.2,11.6,1.6,0.6,7,17.1,NA,7.3,6.4,13.7,0.071,NA,-1,-0.4,-1.4,1.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,204,4310,11.6,0.545,0.632,0.151,2.4,8.4,5.3,8.4,1.4,0.5,5,16.7,NA,5,2.9,7.9,0.088,NA,-0.4,-0.6,-0.9,1.2
2 seasons,NA,NYK,NBA,,127,3490,11.9,0.489,0.364,0.175,2.6,12.8,7.6,16.5,1.9,0.8,9.3,17.1,NA,2.1,2.4,4.6,0.063,NA,-1.6,0.1,-1.5,0.4
1 season,NA,NOP,NBA,,55,1120,11.2,0.508,0.608,0.118,1.9,9.6,5.7,8.8,1.7,0.4,5.7,19.5,NA,0.2,1,1.2,0.052,NA,-1.2,-0.2,-1.5,0.1
1 season,NA,SAC,NBA,,19,375,8,0.522,0.385,0.115,2.2,8.5,5.4,11.2,0.8,0.2,14.1,15.4,NA,0,0.1,0.1,0.007,NA,-2.6,-2.1,-4.7,-0.3
