Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Langston Galloway,,3.4,3.3,1.4,1.3,1.3,NA,NA,NA,NA
Larry Wright,88.4,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA
Shannon Brown,84.6,3.4,3.1,1.6,1.2,0.7,0.1,0,-0.3,-0.5
Ron Lee,82.2,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
Quincy Pondexter,80.2,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA
Gary Neal,79.9,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA
Al Ferrari,79.7,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA
Pablo Prigioni,79.7,3.4,3.2,2.3,1.5,NA,NA,NA,NA,NA
Charlie Bell,79.6,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA
George Dempsey,79.3,3.5,2.2,2.1,1.5,1.4,NA,NA,NA,NA
Brandon Knight,78.9,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA
