Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Langston Galloway,,3.4,3.3,1.4,1.3,1.3
Larry Wright,88.7,3.5,2.7,1.8,1.4,1.2
Derek Fisher,86.9,3.8,3.1,1.8,1.7,1.1
Jim King,85.3,3.7,3.5,2.3,1.5,1.1
Beno Udrih,84.0,3.1,2.4,1.3,1.2,1
Dudley Bradley,83.3,3.9,3.1,2.4,1.4,1.1
Charles Johnson,82.3,3.7,2.4,1.4,1,0.9
Clint Richardson,81.7,3.3,2.4,1.9,1.1,1
John Battle,81.6,3.2,2.3,1.7,1.5,1
Brandon Knight,81.4,4.5,2.8,1.7,1.3,1.1
Mickaël Piétrus,81.3,3.6,2.8,2.1,1.5,0.6
