Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rich Niemann,,4.4,1.4,1.2,0.2
Craig Raymond,87.8,4.7,1.7,1,0
Eric Montross,86.2,4.1,1.4,1.3,0.7
Chris Andersen,84.9,4.5,2.4,1.1,0.3
Erick Dampier,84.1,4,1.5,0.9,-0.1
Jusuf Nurkić,83.6,4.7,2,1.6,0.4
Timofey Mozgov,82.8,4.5,1.1,0.7,0.6
Jack Toomay,81.9,3.6,1.6,1.1,NA
Jamie Feick,81.2,4.8,2.2,0.9,0.2
Mike Brown,80.7,3.7,1.4,1,0.7
Carlos Rogers,79.3,4,0.9,0.9,0.5
