,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,TOT,NBA,,5,,,,,,4,4,,,,,,,,12
1968-69,22,DET,NBA,,3,,,,,,2,2,,,,,,,,7
1968-69,22,MIL,NBA,,5,,,,,,4,4,,,,,,,,12
1969-70,23,BOS,NBA,,1,,,,,,2,2,,,,,,,,4
1969-70,23,CAR,ABA,,10,,0,,,,8,9,,,,,,,,25
1970-71,24,FLO,ABA,,8,,0,,,,5,6,,,,,,,,21
1971-72,25,DLC,ABA,,6,,0,,,,3,4,,,,,,,,12
Career,,,TOT,,10,,,,,,8,9,,,,,,,,25
,,,NBA,,5,,,,,,4,4,,,,,,,,12
,,,ABA,,10,,0,,,,8,9,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,
1 Season,,CAR,ABA,,10,,0,,,,8,9,,,,,,,,25
1 Season,,FLO,ABA,,8,,0,,,,5,6,,,,,,,,21
1 Season,,DLC,ABA,,6,,0,,,,3,4,,,,,,,,12
1 Season,,MIL,NBA,,5,,,,,,4,4,,,,,,,,12
1 Season,,DET,NBA,,3,,,,,,2,2,,,,,,,,7
1 Season,,BOS,NBA,,1,,,,,,2,2,,,,,,,,4
