Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,TOT,NBA,C,34,NA,272,5.8,14,0.415,NA,NA,NA,5.8,14,0.415,2.5,3.3,0.76,NA,NA,13.2,2.1,NA,NA,8.1,14.2
1968-69,22,DET,NBA,C,16,NA,123,5.9,13.8,0.426,NA,NA,NA,5.9,13.8,0.426,2.3,2.9,0.8,NA,NA,12,2.6,NA,NA,8.8,14
1968-69,22,MIL,NBA,C,18,NA,149,5.8,14.3,0.407,NA,NA,NA,5.8,14.3,0.407,2.7,3.6,0.733,NA,NA,14.3,1.7,NA,NA,7.5,14.3
1969-70,23,TOT,TOT,C,69,NA,1484,7,14.7,0.474,0,0,NA,7,14.7,0.474,3.5,4.7,0.737,4.1,NA,13.8,2.2,NA,3.4,5.6,17.4
1969-70,23,BOS,NBA,C,6,NA,18,4,10,0.4,NA,NA,NA,4,10,0.4,4,4,1,NA,NA,12,4,NA,NA,20,12
1969-70,23,CAR,ABA,C,63,NA,1466,7,14.8,0.474,0,0,NA,7,14.8,0.474,3.5,4.7,0.734,4.2,9.6,13.8,2.1,NA,3.5,5.4,17.5
1970-71,24,FLO,ABA,C,51,NA,642,6.8,13.5,0.502,0,0,NA,6.8,13.5,0.502,2.4,3.4,0.717,4.1,10.1,14.3,1.6,NA,3.2,7.7,16
1971-72,25,DLC,ABA,C,33,NA,524,3.3,6.7,0.49,0,0,NA,3.3,6.7,0.49,1.7,2.3,0.735,3.2,7.5,10.6,1.6,NA,1.9,6,8.3
Career,NA,,TOT,,187,NA,2922,6.2,12.9,0.476,0,0,NA,6.2,12.9,0.476,2.8,3.9,0.735,4,9.3,13.3,1.9,NA,3.1,6.3,15.2
,NA,,ABA,,147,NA,2632,6.2,12.9,0.483,0,0,NA,6.2,12.9,0.483,2.9,3.9,0.731,4,9.3,13.3,1.9,NA,3.1,6.1,15.3
,NA,,NBA,,40,NA,290,5.7,13.8,0.414,NA,NA,NA,5.7,13.8,0.414,2.6,3.4,0.778,NA,NA,13.2,2.2,NA,NA,8.8,14
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,63,NA,1466,7,14.8,0.474,0,0,NA,7,14.8,0.474,3.5,4.7,0.734,4.2,9.6,13.8,2.1,NA,3.5,5.4,17.5
1 season,NA,FLO,ABA,,51,NA,642,6.8,13.5,0.502,0,0,NA,6.8,13.5,0.502,2.4,3.4,0.717,4.1,10.1,14.3,1.6,NA,3.2,7.7,16
1 season,NA,DLC,ABA,,33,NA,524,3.3,6.7,0.49,0,0,NA,3.3,6.7,0.49,1.7,2.3,0.735,3.2,7.5,10.6,1.6,NA,1.9,6,8.3
1 season,NA,MIL,NBA,,18,NA,149,5.8,14.3,0.407,NA,NA,NA,5.8,14.3,0.407,2.7,3.6,0.733,NA,NA,14.3,1.7,NA,NA,7.5,14.3
1 season,NA,DET,NBA,,16,NA,123,5.9,13.8,0.426,NA,NA,NA,5.9,13.8,0.426,2.3,2.9,0.8,NA,NA,12,2.6,NA,NA,8.8,14
1 season,NA,BOS,NBA,,6,NA,18,4,10,0.4,NA,NA,NA,4,10,0.4,4,4,1,NA,NA,12,4,NA,NA,20,12
