Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rich Niemann,,4.4,1.4,1.2,0.2,NA
Craig Raymond,88.4,4.7,1.7,1,0,0
Jack Toomay,81.9,3.6,1.6,1.1,NA,NA
Jamie Feick,79.7,4.8,2.2,0.9,0.2,0.2
Greg Oden,76.4,4.6,2.2,0.5,NA,NA
Lucas Nogueira,76.0,3.7,1.6,0.7,0,NA
Mike Sojourner,75.4,4.7,2.7,0.9,NA,NA
Ed Johnson,74.4,5.1,2.4,1,NA,NA
Tom Hoover,72.7,4.4,2.6,0.4,0.1,0
Lee Knorek,70.1,5.1,2.5,1.7,0,NA
Ivica Zubac,69.1,3.2,1.1,1,NA,NA
