Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,23,CAR,ABA,C,4,NA,12.8,1.5,4,0.375,0,0,NA,1.5,4,0.375,0.375,0.8,0.8,1,NA,NA,3,0.5,NA,NA,2.8,3.8
1970-71,24,FLO,ABA,C,1,NA,2,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,0,0,0,0,NA,0,0,2
Career,NA,,ABA,,5,NA,10.6,1.4,3.6,0.389,0,0,NA,1.4,3.6,0.389,0.389,0.6,0.6,1,0,0,2.4,0.4,NA,0,2.2,3.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,4,NA,12.8,1.5,4,0.375,0,0,NA,1.5,4,0.375,0.375,0.8,0.8,1,NA,NA,3,0.5,NA,NA,2.8,3.8
1 season,NA,FLO,ABA,,1,NA,2,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,0,0,0,0,NA,0,0,2
