Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,TOT,NBA,C,34,272,11.9,0.457,NA,0.236,NA,NA,NA,7.9,NA,NA,NA,NA,0,0.2,0.2,0.038
1968-69,22,DET,NBA,C,16,123,11.6,0.467,NA,0.213,NA,NA,NA,9.7,NA,NA,NA,NA,0,0.1,0.1,0.037
1968-69,22,MIL,NBA,C,18,149,12.2,0.45,NA,0.254,NA,NA,NA,6.4,NA,NA,NA,NA,0,0.1,0.1,0.038
1969-70,23,TOT,TOT,C,69,1484,17.7,0.519,0,0.32,NA,NA,17.9,9,NA,17.1,21.4,NA,2,2.4,4.4,0.143
1969-70,23,BOS,NBA,C,6,18,6.5,0.51,NA,0.4,NA,NA,NA,13.7,NA,NA,NA,NA,0,0,0,0.107
1969-70,23,CAR,ABA,C,63,1466,17.8,0.519,0,0.319,NA,NA,17.9,9,NA,17.1,21.4,NA,2,2.4,4.4,0.144
1970-71,24,FLO,ABA,C,51,642,14.1,0.533,0,0.249,NA,NA,18.6,6.4,NA,17.6,18.8,NA,0.8,0.6,1.4,0.107
1971-72,25,DLC,ABA,C,33,524,9.9,0.536,0,0.347,8.8,21.2,14.9,6.3,NA,19.3,11.1,NA,0.4,0.8,1.2,0.109
Career,NA,,TOT,,187,2922,14.9,0.517,0,0.298,8.8,21.2,17.5,7.8,NA,17.4,18.8,NA,3.2,4,7.3,0.119
,NA,,ABA,,147,2632,15.3,0.524,0,0.304,8.8,21.2,17.5,7.8,NA,17.4,18.8,NA,3.2,3.8,7,0.128
,NA,,NBA,,40,290,11.6,0.46,NA,0.243,NA,NA,NA,8.3,NA,NA,NA,NA,0,0.2,0.3,0.042
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,63,1466,17.8,0.519,0,0.319,NA,NA,17.9,9,NA,17.1,21.4,NA,2,2.4,4.4,0.144
1 season,NA,FLO,ABA,,51,642,14.1,0.533,0,0.249,NA,NA,18.6,6.4,NA,17.6,18.8,NA,0.8,0.6,1.4,0.107
1 season,NA,DLC,ABA,,33,524,9.9,0.536,0,0.347,8.8,21.2,14.9,6.3,NA,19.3,11.1,NA,0.4,0.8,1.2,0.109
1 season,NA,MIL,NBA,,18,149,12.2,0.45,NA,0.254,NA,NA,NA,6.4,NA,NA,NA,NA,0,0.1,0.1,0.038
1 season,NA,DET,NBA,,16,123,11.6,0.467,NA,0.213,NA,NA,NA,9.7,NA,NA,NA,NA,0,0.1,0.1,0.037
1 season,NA,BOS,NBA,,6,18,6.5,0.51,NA,0.4,NA,NA,NA,13.7,NA,NA,NA,NA,0,0,0,0.107
