Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Michael Ansley,,3.3,3.1,0,NA,NA
Andy Duncan,85.2,3.7,3.4,-0.3,NA,NA
Ollie Darden,81.4,3.7,3.6,0.3,NA,NA
Dike Eddleman,80.2,3.8,3.7,-0.1,-0.1,NA
Bill Closs,78.7,4.4,2.8,0,NA,NA
Tyrone Nesby,75.6,3.1,2.9,1.3,0.3,NA
Sonny Dove,72.8,4.3,3,0.4,0,-0.5
Paul Graham,72.5,3.6,1.9,0.2,NA,NA
Cal Christensen,69.2,3.2,2.9,1.7,0.4,0
Dorian Finney-Smith,68.9,3.3,1.4,0.1,NA,NA
Juan Hernangómez,68.1,3,1.8,0.4,NA,NA
