Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Michael Ansley,,3.3,3.1,0
Len Chappell,91.7,3.6,3.2,0.1
Anthony Tolliver,90.0,3.3,2.5,0
John Tresvant,89.8,3.5,2.7,0.1
Ben Wallace,89.0,3.6,2.9,-0.2
Kyle Anderson,87.3,3.5,2.7,0.3
Richard Washington,87.3,3.9,3.2,0
Jumaine Jones,86.3,3.3,2.3,0
Ira Newble,85.3,3.3,2.3,0.2
Andy Duncan,85.2,3.7,3.4,-0.3
Matt Bullard,84.7,3.4,2.4,0.2
