Season,Team,Lg,Salary
1991-92,New Jersey Nets,NBA,"$150,000"
1992-93,New Jersey Nets,NBA,"$125,000"
1994-95,Sacramento Kings,NBA,"$150,000"
Career,(may be incomplete),,"$425,000"
