Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Darius Songaila,,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0,NA,NA,NA
Etan Thomas,85.6,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA
Danny Vranes,85.6,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA,NA
Francisco García,85.3,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA
Ed Manning,84.3,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,NA,NA
Corky Calhoun,84.2,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA,NA
Howard Porter,84.0,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA
John Brown,83.6,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA,NA
Matt Bullard,83.6,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1
David Benoit,81.9,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA
Andrea Bargnani,81.8,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA
