,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2016-17,23,TOT,NBA,PG,46,1197,.406,16.7,.553,.190,.094,.089,.178,.447,.422,.533,.378,.400,.343,.386,.207,.000,0,.559,.131,.348,1,0
2016-17,23,BRK,NBA,PG,10,151,.367,18.6,.449,.163,.041,.061,.184,.551,.455,.625,.500,.333,.333,.296,.200,.000,0,.500,.111,.333,0,0
2016-17,23,DAL,NBA,PG,36,1046,.412,16.4,.568,.194,.101,.093,.177,.432,.418,.522,.371,.406,.344,.403,.207,.000,0,.567,.134,.350,1,0
2017-18,24,DAL,NBA,SG,82,2282,.426,17.4,.508,.151,.084,.097,.178,.492,.477,.582,.295,.493,.462,.373,.401,.000,0,.746,.162,.500,1,0
2018-19,25,SAC,NBA,PG,71,1067,.435,16.1,.577,.196,.108,.148,.125,.423,.488,.580,.421,.423,.477,.362,.263,.000,0,.648,.148,.364,3,0
2019-20,26,SAC,NBA,PG,44,484,.396,17.4,.592,.136,.053,.207,.195,.408,.480,.522,.111,.514,.515,.275,.250,.000,0,.737,.188,.538,0,0
Career,,,NBA,,243,5030,.420,16.9,.542,.168,.088,.117,.168,.458,.466,.563,.338,.461,.440,.365,.308,.000,0,.680,.154,.448,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,118,3328,.421,17.1,.527,.165,.089,.096,.178,.473,.457,.559,.323,.466,.424,.382,.340,.000,0,.691,.154,.462,2,0
2 seasons,,SAC,NBA,,115,1551,.422,16.5,.582,.177,.090,.167,.148,.418,.485,.565,.362,.460,.494,.335,.259,.000,0,.671,.161,.429,3,0
1 season,,BRK,NBA,,10,151,.367,18.6,.449,.163,.041,.061,.184,.551,.455,.625,.500,.333,.333,.296,.200,.000,0,.500,.111,.333,0,0
