,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,23,TOT,NBA,PG,46,1197,100%,,,,,-4.5,+0.4,40,16,41,4,33,13,421,7,22
2016-17,23,BRK,NBA,PG,10,151,100%,,,,,-12.9,-6.8,5,6,4,1,7,5,46,0,1
2016-17,23,DAL,NBA,PG,36,1046,100%,,,,,-3.2,0.0,35,10,37,3,26,8,375,7,21
2017-18,24,DAL,NBA,SG,82,2282,22%,63%,15%,,,+0.1,+8.6,51,13,61,6,40,16,492,10,33
2018-19,25,SAC,NBA,PG,71,1067,100%,,,,,-1.9,-1.3,22,9,28,4,29,24,330,7,20
2019-20,26,SAC,NBA,PG,44,484,100%,,,,,-3.8,-2.2,14,2,9,2,11,14,146,0,9
Career,,,NBA,,243,5030,65%,29%,7%,,,-1.8,+3.5,127,40,139,16,113,67,1389,24,84
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,118,3328,46%,43%,10%,,,-0.9,+5.9,86,23,98,9,66,24,867,17,54
2 seasons,,SAC,NBA,,115,1551,100%,,,,,-2.5,-1.6,36,11,37,6,40,38,476,7,29
1 season,,BRK,NBA,,10,151,100%,,,,,-12.9,-6.8,5,6,4,1,7,5,46,0,1
