Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Yogi Ferrell,,3,1.9,1.8,NA,NA,NA,NA,NA
Mike Butler,90.0,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Dennis Hopson,84.7,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Caris LeVert,83.1,2.3,1.8,1.7,NA,NA,NA,NA,NA
Anthony Goldwire,82.9,3,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Rodney McGruder,82.3,2.9,1.9,0.8,NA,NA,NA,NA,NA
Freddie Crawford,82.0,2.7,2.2,1.6,-0.2,-0.3,NA,NA,NA
Louie Nelson,81.0,2.9,2.3,1.1,0,0,NA,NA,NA
Greg Minor,80.4,3,2.1,1.7,0.8,0.6,NA,NA,NA
Dick Farley,79.3,3,2.8,2.5,NA,NA,NA,NA,NA
Norman Powell,79.3,2.8,2.4,1.6,0.6,NA,NA,NA,NA
